buy_initiated,buy_volume,close,delta,high,inference,low,open,sell_initiated,sell_volume,tick_delta,timestamp,security_id
3.0,3.0,1298.95,4.0,1298.95,Neutral,1298.3,1298.3,3.0,-1.0,0.0,20:43,477167
1.5,-1.0,1299.0,2.0,1299.0,Neutral,1298.95,1298.95,1.5,-3.0,0.0,20:44,477167
2.5,3.0,1299.1,5.0,1299.45,Buy Dominant,1299.0,1299.0,1.5,-2.0,1.0,20:45,477167
8.5,-6.0,1298.3,-7.0,1299.5,Neutral,1298.3,1299.45,8.5,1.0,0.0,20:46,477167
4.5,1.0,1298.4,-2.0,1298.5,Neutral,1298.0,1298.5,4.5,3.0,0.0,20:47,477167
1.5,-1.0,1298.4,-10.0,1298.4,Neutral,1298.4,1298.4,1.5,9.0,0.0,20:48,477167
1.0,6.0,1298.4,7.0,1298.4,Neutral,1298.35,1298.35,1.0,-1.0,0.0,20:49,477167
0.0,0.0,1298.95,1.0,1298.95,Neutral,1298.95,1298.95,0.0,-1.0,0.0,20:50,477167
1.0,5.0,1299.0,17.0,1299.0,Buy Dominant,1299.0,1299.0,0.0,-12.0,1.0,20:51,477167
20.0,6.0,1301.4,28.0,1301.4,Buy Dominant,1299.4,1299.4,11.0,-22.0,9.0,20:52,477167
16.5,0.0,1303.0,20.0,1303.0,Buy Dominant,1301.45,1301.45,10.5,-20.0,6.0,20:53,477167
10.5,-11.0,1303.8,-9.0,1303.8,Buy Dominant,1303.4,1303.4,3.5,-2.0,7.0,20:54,477167
6.5,-1.0,1303.9,1.0,1303.9,Sell Dominant,1303.2,1303.2,8.5,-2.0,-2.0,20:55,477167
3.5,1.0,1303.9,1.0,1303.9,Neutral,1303.1,1303.85,3.5,0.0,0.0,20:56,477167
14.5,0.0,1304.8,7.0,1305.0,Buy Dominant,1304.0,1304.0,8.5,-7.0,6.0,20:57,477167
4.5,-8.0,1305.2,4.0,1305.3,Sell Dominant,1304.6,1304.6,9.5,-12.0,-5.0,20:58,477167
9.5,-1.0,1304.95,-3.0,1305.15,Buy Dominant,1303.95,1305.0,2.5,2.0,7.0,20:59,477167
6.0,-1.0,1305.5,-3.0,1305.75,Sell Dominant,1304.3,1304.3,10.0,2.0,-4.0,21:00,477167
7.0,-4.0,1305.55,-2.0,1305.55,Buy Dominant,1304.05,1305.2,1.0,-2.0,6.0,21:01,477167
6.5,1.0,1305.0,-5.0,1305.55,Neutral,1304.15,1305.55,6.5,6.0,0.0,21:02,477167
10.0,-4.0,1303.15,1.0,1304.75,Sell Dominant,1302.7,1304.25,13.0,-5.0,-3.0,21:03,477167
1.5,9.0,1302.15,6.0,1303.25,Sell Dominant,1302.05,1303.25,4.5,3.0,-3.0,21:04,477167
4.0,1.0,1303.05,-3.0,1304.45,Buy Dominant,1303.0,1303.0,2.0,4.0,2.0,21:05,477167
4.0,8.0,1303.0,10.0,1304.3,Sell Dominant,1303.0,1304.0,5.0,-2.0,-1.0,21:06,477167
8.5,11.0,1305.15,20.0,1305.15,Buy Dominant,1302.65,1302.65,5.5,-9.0,3.0,21:07,477167
36.0,1.0,1307.0,17.0,1307.7,Buy Dominant,1305.35,1305.35,14.0,-16.0,22.0,21:08,477167
6.0,0.0,1307.0,0.0,1307.0,Sell Dominant,1306.6,1306.95,10.0,0.0,-4.0,21:09,477167
4.5,1.0,1307.05,5.0,1307.7,Sell Dominant,1307.0,1307.0,5.5,-4.0,-1.0,21:10,477167
8.0,1.0,1308.85,6.0,1308.85,Sell Dominant,1307.1,1307.95,13.0,-5.0,-5.0,21:11,477167
12.0,-4.0,1308.9,-6.0,1309.3,Sell Dominant,1308.6,1308.9,14.0,2.0,-2.0,21:12,477167
17.0,-7.0,1308.0,134.0,1310.0,Sell Dominant,1308.0,1309.0,23.0,-141.0,-6.0,21:13,477167
13.5,-5.0,1308.4,-12.0,1310.0,Buy Dominant,1308.05,1308.5,2.5,7.0,11.0,21:14,477167
0.5,1.0,1308.0,6.0,1308.0,Sell Dominant,1308.0,1308.0,2.5,-5.0,-2.0,21:15,477167
3.0,1.0,1309.85,-3.0,1309.85,Sell Dominant,1309.05,1309.75,4.0,4.0,-1.0,21:16,477167
2.0,-2.0,1308.2,-8.0,1309.8,Sell Dominant,1308.2,1309.8,6.0,6.0,-4.0,21:17,477167
20.5,2.0,1308.25,-61.0,1309.0,Buy Dominant,1308.0,1308.5,12.5,63.0,8.0,21:18,477167
11.0,15.0,1309.35,-2.0,1309.4,Buy Dominant,1308.3,1308.3,8.0,17.0,3.0,21:19,477167
23.5,2.0,1310.4,26.0,1310.4,Buy Dominant,1309.4,1309.4,7.5,-24.0,16.0,21:20,477167
12.5,-4.0,1311.45,0.0,1311.7,Buy Dominant,1310.6,1310.6,4.5,-4.0,8.0,21:21,477167
3.0,-6.0,1308.75,-40.0,1311.45,Sell Dominant,1308.75,1311.45,17.0,34.0,-14.0,21:22,477167
4.5,1.0,1308.1,-30.0,1308.25,Sell Dominant,1307.1,1308.25,28.5,31.0,-24.0,21:23,477167
2.5,3.0,1307.05,-7.0,1307.6,Buy Dominant,1307.05,1307.5,1.5,10.0,1.0,21:24,477167
5.0,6.0,1306.65,0.0,1306.75,Sell Dominant,1306.65,1306.75,6.0,6.0,-1.0,21:25,477167
15.5,-8.0,1303.05,-6.0,1306.7,Sell Dominant,1303.05,1306.35,25.5,-2.0,-10.0,21:26,477167
11.0,13.0,1306.85,4.0,1306.85,Buy Dominant,1303.25,1304.55,5.0,9.0,6.0,21:27,477167
6.5,9.0,1308.1,10.0,1308.1,Buy Dominant,1306.05,1306.95,4.5,-1.0,2.0,21:28,477167
4.0,-5.0,1307.05,-8.0,1308.15,Sell Dominant,1306.35,1308.15,7.0,3.0,-3.0,21:29,477167
2.5,2.0,1308.3,1.0,1308.3,Buy Dominant,1306.55,1306.55,1.5,1.0,1.0,21:30,477167
1.0,0.0,1308.25,-2.0,1308.25,Neutral,1308.25,1308.25,1.0,2.0,0.0,21:31,477167
2.0,2.0,1307.7,4.0,1307.7,Buy Dominant,1307.4,1307.4,1.0,-2.0,1.0,21:32,477167
2.0,1.0,1304.65,-4.0,1307.5,Sell Dominant,1304.65,1307.5,8.0,5.0,-6.0,21:33,477167
16.0,14.0,1307.1,17.0,1307.1,Buy Dominant,1305.0,1305.0,1.0,-3.0,15.0,21:34,477167
12.0,-3.0,1306.05,-11.0,1307.45,Buy Dominant,1305.75,1307.45,11.0,8.0,1.0,21:35,477167
5.0,-5.0,1304.05,0.0,1305.05,Sell Dominant,1304.05,1305.05,8.0,-5.0,-3.0,21:36,477167
13.5,-7.0,1301.65,-11.0,1304.0,Buy Dominant,1300.6,1304.0,12.5,4.0,1.0,21:37,477167
26.0,10.0,1306.0,10.0,1306.0,Buy Dominant,1301.0,1301.0,8.0,0.0,18.0,21:38,477167
1.5,9.0,1303.1,5.0,1305.15,Sell Dominant,1303.05,1305.15,2.5,4.0,-1.0,21:39,477167
5.0,-1.0,1302.05,-3.0,1303.1,Neutral,1302.05,1303.0,5.0,2.0,0.0,21:40,477167
1.0,1.0,1301.75,-5.0,1301.9,Neutral,1301.75,1301.9,1.0,6.0,0.0,21:41,477167
1.0,-3.0,1301.0,-4.0,1301.5,Sell Dominant,1301.0,1301.5,2.0,1.0,-1.0,21:42,477167
9.5,8.0,1281.55,2.0,1282.35,Sell Dominant,1280.85,1282.3,12.5,6.0,-3.0,20:43,467733
8.5,-1.0,1282.45,3.0,1282.5,Neutral,1281.45,1281.45,8.5,-4.0,0.0,20:44,467733
7.5,0.0,1282.45,5.0,1282.5,Sell Dominant,1281.7,1282.4,9.5,-5.0,-2.0,20:45,467733
8.5,4.0,1281.7,1.0,1282.5,Sell Dominant,1281.5,1282.45,11.5,3.0,-3.0,20:46,467733
8.0,-11.0,1281.4,-22.0,1281.7,Sell Dominant,1280.85,1281.7,10.0,11.0,-2.0,20:47,467733
4.5,-2.0,1280.7,-9.0,1281.0,Neutral,1280.7,1281.0,4.5,7.0,0.0,20:48,467733
11.0,-3.0,1281.7,0.0,1281.7,Buy Dominant,1280.8,1280.8,7.0,-3.0,4.0,20:49,467733
2.0,5.0,1281.7,22.0,1281.7,Neutral,1281.5,1281.5,2.0,-17.0,0.0,20:50,467733
