buy_initiated,buy_volume,close,delta,high,inference,low,open,sell_initiated,sell_volume,tick_delta,timestamp,security_id
0.0,-10.0,160015.0,-8.0,160015.0,Neutral,160015.0,160015.0,0.0,-2.0,0.0,19:40,440938
0.5,-2.0,159977.0,0.0,159977.0,Neutral,159977.0,159977.0,0.5,-2.0,0.0,19:43,440938
0.5,21.0,160000.0,8.0,160000.0,Neutral,160000.0,160000.0,0.5,13.0,0.0,19:50,440938
1.0,10.0,160000.0,16.0,160000.0,Neutral,160000.0,160000.0,1.0,-6.0,0.0,19:54,440938
2.0,0.0,160317.0,2.0,160317.0,Buy Dominant,160317.0,160317.0,0.0,-2.0,2.0,20:04,440938
0.0,-9.0,160101.0,1.0,160101.0,Sell Dominant,160101.0,160101.0,1.0,-10.0,-1.0,20:08,440938
1.5,0.0,160000.0,-22.0,160010.0,Sell Dominant,160000.0,160010.0,4.5,22.0,-3.0,20:12,440938
1.0,2.0,160000.0,3.0,160000.0,Neutral,159962.0,159962.0,1.0,-1.0,0.0,20:23,440938
0.5,-14.0,159890.0,-13.0,159890.0,Sell Dominant,159890.0,159890.0,1.5,-1.0,-1.0,20:26,440938
2.0,7.0,159700.0,6.0,159840.0,Sell Dominant,159700.0,159840.0,4.0,1.0,-2.0,20:27,440938
6.5,4.0,125400.0,0.0,125400.0,Buy Dominant,125350.0,125350.0,0.5,4.0,6.0,19:42,445003
13.0,38.0,125417.0,47.0,125441.0,Sell Dominant,125400.0,125400.0,15.0,-9.0,-2.0,19:43,445003
7.0,24.0,125475.0,33.0,125495.0,Sell Dominant,125417.0,125419.0,8.0,-9.0,-1.0,19:44,445003
2.0,-9.0,125470.0,-17.0,125485.0,Sell Dominant,125469.0,125469.0,6.0,8.0,-4.0,19:45,445003
2.0,8.0,125480.0,14.0,125480.0,Neutral,125454.0,125469.0,2.0,-6.0,0.0,19:46,445003
8.0,-7.0,125529.0,-30.0,125534.0,Buy Dominant,125498.0,125498.0,1.0,23.0,7.0,19:47,445003
5.5,-3.0,125454.0,-5.0,125525.0,Sell Dominant,125450.0,125516.0,8.5,2.0,-3.0,19:48,445003
3.5,4.0,125441.0,3.0,125468.0,Neutral,125441.0,125456.0,3.5,1.0,0.0,19:49,445003
4.0,-1.0,125487.0,-2.0,125500.0,Buy Dominant,125483.0,125491.0,2.0,1.0,2.0,19:50,445003
4.0,-6.0,125490.0,-5.0,125500.0,Sell Dominant,125476.0,125476.0,5.0,-1.0,-1.0,19:51,445003
2.5,1.0,125470.0,-14.0,125479.0,Neutral,125449.0,125450.0,2.5,15.0,0.0,19:52,445003
0.5,6.0,125449.0,5.0,125470.0,Sell Dominant,125449.0,125470.0,2.5,1.0,-2.0,19:53,445003
1.0,7.0,125400.0,35.0,125413.0,Sell Dominant,125400.0,125413.0,8.0,-28.0,-7.0,19:54,445003
7.0,0.0,125427.0,-13.0,125427.0,Buy Dominant,125364.0,125384.0,5.0,13.0,2.0,19:55,445003
4.5,-1.0,125394.0,6.0,125447.0,Sell Dominant,125394.0,125427.0,5.5,-7.0,-1.0,19:56,445003
4.5,7.0,125411.0,11.0,125411.0,Sell Dominant,125367.0,125394.0,6.5,-4.0,-2.0,19:57,445003
0.5,1.0,125411.0,0.0,125411.0,Neutral,125411.0,125411.0,0.5,1.0,0.0,19:58,445003
