buy_initiated,buy_volume,close,delta,high,inference,low,open,sell_initiated,sell_volume,tick_delta,timestamp,security_id
1.0,0.0,1199.15,-23.0,1199.15,Neutral,1199.1,1199.1,1.0,23.0,0.0,21:02,477167
7.0,-2.0,1198.5,-10.0,1199.4,Sell Dominant,1198.5,1199.1,10.0,8.0,-3.0,21:03,477167
2.0,6.0,1199.1,17.0,1199.1,Neutral,1198.35,1198.35,2.0,-11.0,0.0,21:04,477167
3.5,-1.0,1199.25,-10.0,1199.4,Neutral,1199.1,1199.1,3.5,9.0,0.0,21:05,477167
2.0,0.0,1199.05,2.0,1199.15,Sell Dominant,1198.9,1199.0,4.0,-2.0,-2.0,21:06,477167
4.5,0.0,1199.5,5.0,1199.5,Neutral,1199.0,1199.0,4.5,-5.0,0.0,21:07,477167
3.0,-1.0,1199.95,37.0,1199.95,Buy Dominant,1199.7,1199.7,2.0,-38.0,1.0,21:08,477167
1.5,0.0,1199.65,-2.0,1199.65,Sell Dominant,1199.65,1199.65,2.5,2.0,-1.0,21:09,477167
3.0,-3.0,1200.35,-5.0,1200.35,Buy Dominant,1199.95,1200.15,2.0,2.0,1.0,21:10,477167
6.0,5.0,1200.7,7.0,1200.7,Buy Dominant,1200.4,1200.4,0.0,-2.0,6.0,21:12,477167
0.5,-1.0,1200.5,1.0,1200.7,Sell Dominant,1200.5,1200.7,1.5,-2.0,-1.0,21:13,477167
0.0,3.0,1200.45,1.0,1200.45,Sell Dominant,1200.45,1200.45,1.0,2.0,-1.0,21:14,477167
1.5,-1.0,1200.55,2.0,1200.55,Buy Dominant,1200.55,1200.55,0.5,-3.0,1.0,21:15,477167
2.5,-5.0,1200.65,-4.0,1200.65,Buy Dominant,1200.6,1200.6,0.5,-1.0,2.0,21:16,477167
0.0,1.0,1200.4,-3.0,1200.45,Sell Dominant,1200.4,1200.45,1.0,4.0,-1.0,21:17,477167
2.0,-2.0,1200.5,-6.0,1200.5,Buy Dominant,1200.5,1200.5,0.0,4.0,2.0,21:18,477167
1.0,2.0,1200.5,3.0,1200.5,Neutral,1200.5,1200.5,1.0,-1.0,0.0,21:19,477167
0.5,0.0,1200.0,-1.0,1200.0,Neutral,1200.0,1200.0,0.5,1.0,0.0,21:20,477167
1.0,1.0,1200.3,-3.0,1200.3,Neutral,1200.0,1200.0,1.0,4.0,0.0,21:21,477167
0.5,2.0,1200.3,-4.0,1200.3,Neutral,1200.3,1200.3,0.5,6.0,0.0,21:22,477167
0.5,1.0,1200.0,-1.0,1200.1,Sell Dominant,1200.0,1200.1,2.5,2.0,-2.0,21:24,477167
3.5,-3.0,1199.75,2.0,1199.95,Sell Dominant,1199.25,1199.95,4.5,-5.0,-1.0,21:25,477167
3.5,-2.0,1199.1,-4.0,1199.15,Sell Dominant,1199.1,1199.15,4.5,2.0,-1.0,21:27,477167
2.0,6.0,1199.45,5.0,1199.45,Buy Dominant,1199.0,1199.0,1.0,1.0,1.0,21:28,477167
0.5,1.0,1199.1,7.0,1199.1,Sell Dominant,1199.1,1199.1,1.5,-6.0,-1.0,21:30,477167
0.0,2.0,1199.3,-1.0,1199.3,Neutral,1199.3,1199.3,0.0,3.0,0.0,21:31,477167
1.0,2.0,1199.1,-1.0,1199.35,Sell Dominant,1199.1,1199.35,2.0,3.0,-1.0,21:32,477167
5.0,-8.0,1199.0,-6.0,1199.1,Sell Dominant,1198.6,1199.1,16.0,-2.0,-11.0,21:33,477167
5.5,-2.0,1199.15,-6.0,1199.2,Buy Dominant,1199.0,1199.0,4.5,4.0,1.0,21:34,477167
0.5,-1.0,1198.6,-6.0,1199.15,Sell Dominant,1198.6,1199.15,5.5,5.0,-5.0,21:35,477167
10.5,0.0,1199.0,5.0,1199.0,Buy Dominant,1198.6,1198.6,1.5,-5.0,9.0,21:36,477167
3.5,1.0,1198.6,2.0,1198.7,Neutral,1198.5,1198.7,3.5,-1.0,0.0,21:37,477167
2.0,0.0,1198.6,2.0,1199.0,Sell Dominant,1198.6,1198.85,3.0,-2.0,-1.0,21:38,477167
8.0,-9.0,1198.35,-11.0,1198.8,Neutral,1198.35,1198.8,8.0,2.0,0.0,21:39,477167
21.5,-16.0,1197.35,-21.0,1198.35,Sell Dominant,1197.0,1198.2,45.5,5.0,-24.0,21:40,477167
28.0,-10.0,1197.0,-1.0,1198.0,Sell Dominant,1197.0,1197.0,39.0,-9.0,-11.0,21:41,477167
22.5,0.0,1196.35,-8.0,1197.7,Sell Dominant,1196.35,1197.0,39.5,8.0,-17.0,21:42,477167
