buy_initiated,buy_volume,close,delta,high,inference,low,open,sell_initiated,sell_volume,tick_delta,timestamp,security_id
5.5,1.0,148783.0,23.0,148783.0,Buy Dominant,148719.0,148719.0,4.5,-22.0,1.0,20:43,440938
43.0,-68.0,148731.0,-82.0,148836.0,Buy Dominant,148731.0,148780.0,26.0,14.0,17.0,20:44,440938
77.0,65.0,148740.0,57.0,148746.0,Sell Dominant,148668.0,148706.0,80.0,8.0,-3.0,20:45,440938
51.5,-14.0,148773.0,-24.0,148809.0,Sell Dominant,148715.0,148730.0,65.5,10.0,-14.0,20:46,440938
26.5,33.0,148853.0,27.0,148888.0,Sell Dominant,148758.0,148787.0,31.5,6.0,-5.0,20:47,440938
45.5,36.0,149005.0,78.0,149055.0,Buy Dominant,148817.0,148842.0,18.5,-42.0,27.0,20:48,440938
16.5,-22.0,148990.0,-34.0,149042.0,Sell Dominant,148950.0,149042.0,23.5,12.0,-7.0,20:49,440938
88.5,65.0,149132.0,129.0,149168.0,Buy Dominant,148948.0,148948.0,50.5,-64.0,38.0,20:50,440938
66.0,-51.0,149179.0,-57.0,149200.0,Buy Dominant,149131.0,149131.0,46.0,6.0,20.0,20:51,440938
66.5,3.0,149112.0,15.0,149250.0,Buy Dominant,149112.0,149199.0,58.5,-12.0,8.0,20:52,440938
27.0,-6.0,149170.0,-36.0,149190.0,Buy Dominant,149120.0,149165.0,23.0,30.0,4.0,20:53,440938
18.5,-25.0,149036.0,-30.0,149170.0,Sell Dominant,149030.0,149170.0,22.5,5.0,-4.0,20:54,440938
20.0,15.0,149037.0,14.0,149067.0,Sell Dominant,148981.0,149067.0,24.0,1.0,-4.0,20:55,440938
14.5,10.0,148930.0,26.0,149010.0,Sell Dominant,148930.0,149008.0,21.5,-16.0,-7.0,20:56,440938
17.0,-13.0,148875.0,-11.0,148953.0,Buy Dominant,148875.0,148935.0,13.0,-2.0,4.0,20:57,440938
26.0,12.0,148962.0,15.0,148987.0,Buy Dominant,148879.0,148931.0,15.0,-3.0,11.0,20:58,440938
25.5,8.0,148881.0,5.0,148949.0,Buy Dominant,148879.0,148949.0,15.5,3.0,10.0,20:59,440938
36.5,-20.0,148774.0,-47.0,148864.0,Sell Dominant,148736.0,148850.0,39.5,27.0,-3.0,21:00,440938
43.5,27.0,148753.0,55.0,148786.0,Sell Dominant,148694.0,148761.0,58.5,-28.0,-15.0,21:01,440938
