buy_initiated,buy_volume,close,delta,high,inference,low,open,sell_initiated,sell_volume,tick_delta,timestamp,security_id
23.0,85.0,165947.0,81.0,165989.0,Buy Dominant,165947.0,165983.0,20.0,4.0,3.0,16:41,440938
20.5,33.0,165964.0,52.0,165990.0,Sell Dominant,165934.0,165980.0,22.5,-19.0,-2.0,16:42,440938
89.0,32.0,165990.0,155.0,166000.0,Neutral,165954.0,165990.0,89.0,-123.0,0.0,16:43,440938
63.0,42.0,166061.0,51.0,166061.0,Buy Dominant,166000.0,166029.0,40.0,-9.0,23.0,16:44,440938
72.5,-54.0,166080.0,-54.0,166090.0,Sell Dominant,166025.0,166025.0,91.5,0.0,-19.0,16:45,440938
44.0,-18.0,166076.0,-77.0,166090.0,Sell Dominant,166001.0,166090.0,67.0,59.0,-23.0,16:46,440938
27.5,-4.0,166095.0,13.0,166098.0,Sell Dominant,166010.0,166035.0,42.5,-17.0,-15.0,16:47,440938
43.5,-1.0,166100.0,8.0,166100.0,Buy Dominant,166075.0,166099.0,22.5,-9.0,21.0,16:48,440938
128.0,28.0,166150.0,96.0,166150.0,Buy Dominant,166090.0,166090.0,27.0,-68.0,101.0,16:49,440938
44.0,-3.0,166154.0,3.0,166180.0,Sell Dominant,166112.0,166120.0,49.0,-6.0,-5.0,16:50,440938
63.5,-47.0,166161.0,-114.0,166190.0,Sell Dominant,166141.0,166154.0,71.5,67.0,-8.0,16:51,440938
82.0,4.0,166195.0,38.0,166200.0,Buy Dominant,166150.0,166178.0,53.0,-34.0,29.0,16:52,440938
66.5,31.0,166205.0,71.0,166205.0,Buy Dominant,166174.0,166195.0,28.5,-40.0,38.0,16:53,440938
43.0,8.0,166218.0,-2.0,166230.0,Neutral,166200.0,166202.0,43.0,10.0,0.0,16:54,440938
107.0,-19.0,166251.0,73.0,166255.0,Buy Dominant,166220.0,166230.0,34.0,-92.0,73.0,16:55,440938
157.0,14.0,166333.0,138.0,166339.0,Buy Dominant,166249.0,166255.0,127.0,-124.0,30.0,16:56,440938
110.0,-24.0,166355.0,-30.0,166366.0,Buy Dominant,166321.0,166349.0,60.0,6.0,50.0,16:57,440938
66.0,-71.0,166248.0,-118.0,166350.0,Sell Dominant,166248.0,166345.0,96.0,47.0,-30.0,16:58,440938
123.0,59.0,166208.0,66.0,166254.0,Buy Dominant,166166.0,166254.0,101.0,-7.0,22.0,16:59,440938
49.5,10.0,166233.0,-1.0,166257.0,Buy Dominant,166190.0,166200.0,39.5,11.0,10.0,17:00,440938
63.5,-40.0,166080.0,-77.0,166225.0,Sell Dominant,166080.0,166200.0,64.5,37.0,-1.0,17:01,440938
40.5,70.0,166137.0,89.0,166141.0,Buy Dominant,166079.0,166086.0,25.5,-19.0,15.0,17:02,440938
31.5,-11.0,166101.0,-14.0,166149.0,Sell Dominant,166093.0,166099.0,49.5,3.0,-18.0,17:03,440938
35.0,25.0,166165.0,49.0,166173.0,Sell Dominant,166108.0,166120.0,36.0,-24.0,-1.0,17:04,440938
19.5,-46.0,166084.0,-74.0,166159.0,Sell Dominant,166084.0,166141.0,32.5,28.0,-13.0,17:05,440938
43.0,-26.0,166036.0,-19.0,166079.0,Sell Dominant,166000.0,166079.0,103.0,-7.0,-60.0,17:06,440938
50.5,61.0,166031.0,25.0,166037.0,Buy Dominant,166000.0,166015.0,45.5,36.0,5.0,17:07,440938
19.0,-64.0,166053.0,-110.0,166079.0,Sell Dominant,166007.0,166025.0,91.0,46.0,-72.0,17:08,440938
45.5,-26.0,166084.0,-35.0,166118.0,Sell Dominant,166048.0,166094.0,58.5,9.0,-13.0,17:09,440938
20.5,-7.0,166050.0,-90.0,166110.0,Buy Dominant,166050.0,166110.0,15.5,83.0,5.0,17:10,440938
53.0,126.0,166162.0,196.0,166172.0,Buy Dominant,166051.0,166051.0,29.0,-70.0,24.0,17:11,440938
30.0,-22.0,166200.0,-31.0,166200.0,Buy Dominant,166140.0,166148.0,20.0,9.0,10.0,17:12,440938
101.0,-7.0,166250.0,35.0,166250.0,Buy Dominant,166184.0,166200.0,33.0,-42.0,68.0,17:13,440938
29.5,-40.0,166250.0,-83.0,166287.0,Sell Dominant,166250.0,166264.0,33.5,43.0,-4.0,17:14,440938
25.5,-16.0,166197.0,-40.0,166270.0,Sell Dominant,166182.0,166270.0,30.5,24.0,-5.0,17:15,440938
16.5,-4.0,166170.0,-30.0,166198.0,Neutral,166154.0,166173.0,16.5,26.0,0.0,17:16,440938
20.0,-26.0,166125.0,-35.0,166217.0,Sell Dominant,166125.0,166199.0,69.0,9.0,-49.0,17:17,440938
28.0,-21.0,166060.0,-138.0,166129.0,Sell Dominant,166050.0,166129.0,57.0,117.0,-29.0,17:18,440938
67.5,19.0,166037.0,92.0,166087.0,Sell Dominant,166015.0,166065.0,103.5,-73.0,-36.0,17:19,440938
52.5,8.0,166085.0,11.0,166086.0,Buy Dominant,166037.0,166050.0,41.5,-3.0,11.0,17:20,440938
36.0,-132.0,165950.0,-193.0,166062.0,Sell Dominant,165950.0,166050.0,216.0,61.0,-180.0,17:21,440938
95.5,6.0,165970.0,28.0,165999.0,Buy Dominant,165911.0,165950.0,89.5,-22.0,6.0,17:22,440938
40.5,42.0,165940.0,19.0,165977.0,Sell Dominant,165925.0,165925.0,75.5,23.0,-35.0,17:23,440938
82.5,10.0,166000.0,32.0,166000.0,Buy Dominant,165939.0,165970.0,44.5,-22.0,38.0,17:24,440938
16.0,29.0,166039.0,3.0,166048.0,Sell Dominant,165970.0,165998.0,19.0,26.0,-3.0,17:25,440938
30.0,-27.0,166070.0,24.0,166107.0,Buy Dominant,166006.0,166006.0,16.0,-51.0,14.0,17:26,440938
16.5,-14.0,166020.0,-80.0,166118.0,Buy Dominant,166020.0,166072.0,13.5,66.0,3.0,17:27,440938
90.0,-161.0,165907.0,-139.0,165990.0,Sell Dominant,165907.0,165990.0,140.0,-22.0,-50.0,17:28,440938
89.5,-67.0,165937.0,-112.0,165952.0,Buy Dominant,165890.0,165890.0,59.5,45.0,30.0,17:29,440938
38.0,3.0,165913.0,27.0,165930.0,Neutral,165909.0,165909.0,38.0,-24.0,0.0,17:30,440938
68.0,55.0,166030.0,105.0,166030.0,Buy Dominant,165950.0,165951.0,32.0,-50.0,36.0,17:31,440938
29.0,-7.0,166088.0,-23.0,166088.0,Buy Dominant,165985.0,166003.0,20.0,16.0,9.0,17:32,440938
38.5,-19.0,166145.0,3.0,166145.0,Buy Dominant,166018.0,166057.0,13.5,-22.0,25.0,17:33,440938
34.0,9.0,166106.0,-42.0,166174.0,Buy Dominant,166100.0,166150.0,28.0,51.0,6.0,17:34,440938
13.0,-5.0,166100.0,-41.0,166130.0,Sell Dominant,166062.0,166121.0,15.0,36.0,-2.0,17:35,440938
8.5,31.0,166114.0,35.0,166143.0,Sell Dominant,166062.0,166067.0,11.5,-4.0,-3.0,17:36,440938
13.5,37.0,166100.0,18.0,166134.0,Sell Dominant,166050.0,166081.0,30.5,19.0,-17.0,17:37,440938
17.0,39.0,166073.0,34.0,166106.0,Buy Dominant,166072.0,166100.0,9.0,5.0,8.0,17:38,440938
19.5,22.0,166130.0,38.0,166130.0,Sell Dominant,166088.0,166099.0,24.5,-16.0,-5.0,17:39,440938
11.0,-34.0,166103.0,-49.0,166136.0,Sell Dominant,166100.0,166101.0,17.0,15.0,-6.0,17:40,440938
24.5,-4.0,166087.0,-12.0,166108.0,Buy Dominant,166072.0,166098.0,18.5,8.0,6.0,17:41,440938
44.5,-31.0,166111.0,-63.0,166170.0,Buy Dominant,166087.0,166087.0,21.5,32.0,23.0,17:42,440938
