buy_initiated,buy_volume,close,delta,high,inference,low,open,sell_initiated,sell_volume,tick_delta,timestamp,security_id
0.0,-1.0,158100.0,13.0,158100.0,Neutral,158100.0,158100.0,0.0,-14.0,0.0,15:42,440938
0.5,6.0,157800.0,4.0,157807.0,Sell Dominant,157800.0,157807.0,2.5,2.0,-2.0,15:46,440938
0.5,3.0,157725.0,3.0,157725.0,Neutral,157725.0,157725.0,0.5,0.0,0.0,15:47,440938
1.0,-13.0,157610.0,-6.0,157610.0,Neutral,157610.0,157610.0,1.0,-7.0,0.0,15:48,440938
0.5,-2.0,157836.0,-2.0,157836.0,Neutral,157836.0,157836.0,0.5,0.0,0.0,15:57,440938
1.0,8.0,157863.0,8.0,157863.0,Buy Dominant,157863.0,157863.0,0.0,0.0,1.0,15:58,440938
1.0,-8.0,157600.0,-4.0,157889.0,Sell Dominant,157600.0,157850.0,6.0,-4.0,-5.0,15:59,440938
0.5,7.0,157895.0,-46.0,157895.0,Neutral,157895.0,157895.0,0.5,53.0,0.0,16:00,440938
2.0,10.0,157700.0,61.0,157700.0,Sell Dominant,157700.0,157700.0,3.0,-51.0,-1.0,16:10,440938
0.0,17.0,157700.0,17.0,157700.0,Neutral,157700.0,157700.0,0.0,0.0,0.0,16:11,440938
0.0,-15.0,157695.0,-20.0,157695.0,Sell Dominant,157695.0,157695.0,2.0,5.0,-2.0,16:12,440938
2.5,1.0,157760.0,-8.0,157760.0,Neutral,157760.0,157760.0,2.5,9.0,0.0,16:24,440938
1.5,-19.0,157703.0,-9.0,157703.0,Buy Dominant,157643.0,157643.0,0.5,-10.0,1.0,16:26,440938
1.0,-6.0,157609.0,-7.0,157773.0,Sell Dominant,157609.0,157773.0,3.0,1.0,-2.0,16:27,440938
2.0,9.0,157609.0,4.0,157609.0,Neutral,157609.0,157609.0,2.0,5.0,0.0,16:28,440938
1.5,14.0,157845.0,20.0,157990.0,Neutral,157845.0,157990.0,1.5,-6.0,0.0,16:31,440938
1.0,-6.0,158018.0,-12.0,158018.0,Buy Dominant,158018.0,158018.0,0.0,6.0,1.0,16:37,440938
4.5,-4.0,125152.0,-5.0,125159.0,Buy Dominant,125140.0,125140.0,1.5,1.0,3.0,15:45,445003
3.0,14.0,125150.0,15.0,125150.0,Sell Dominant,125110.0,125150.0,10.0,-1.0,-7.0,15:46,445003
4.5,-8.0,125120.0,-14.0,125150.0,Neutral,125120.0,125149.0,4.5,6.0,0.0,15:47,445003
0.0,1.0,125105.0,1.0,125105.0,Sell Dominant,125105.0,125105.0,1.0,0.0,-1.0,15:48,445003
1.0,-8.0,125098.0,-19.0,125100.0,Sell Dominant,125078.0,125100.0,2.0,11.0,-1.0,15:49,445003
5.0,5.0,125120.0,3.0,125120.0,Buy Dominant,125120.0,125120.0,0.0,2.0,5.0,15:50,445003
2.5,-8.0,125098.0,-6.0,125098.0,Neutral,125098.0,125098.0,2.5,-2.0,0.0,15:51,445003
2.5,-1.0,125015.0,18.0,125031.0,Sell Dominant,125015.0,125031.0,8.5,-19.0,-6.0,15:53,445003
3.0,-4.0,124995.0,-10.0,125014.0,Sell Dominant,124995.0,125014.0,5.0,6.0,-2.0,15:54,445003
7.5,4.0,124925.0,12.0,124955.0,Buy Dominant,124925.0,124950.0,4.5,-8.0,3.0,15:55,445003
9.5,6.0,124949.0,15.0,124965.0,Buy Dominant,124919.0,124929.0,8.5,-9.0,1.0,15:56,445003
2.0,-2.0,124955.0,-6.0,124955.0,Buy Dominant,124949.0,124949.0,0.0,4.0,2.0,15:57,445003
8.5,5.0,124986.0,8.0,124986.0,Buy Dominant,124967.0,124975.0,2.5,-3.0,6.0,15:58,445003
2.5,-4.0,124986.0,-11.0,124986.0,Buy Dominant,124980.0,124980.0,1.5,7.0,1.0,15:59,445003
0.5,3.0,124935.0,5.0,124935.0,Sell Dominant,124932.0,124932.0,6.5,-2.0,-6.0,16:00,445003
1.0,-5.0,124947.0,-4.0,124947.0,Sell Dominant,124925.0,124927.0,2.0,-1.0,-1.0,16:02,445003
1.0,-4.0,124919.0,-11.0,124920.0,Sell Dominant,124919.0,124919.0,6.0,7.0,-5.0,16:03,445003
1.5,7.0,124900.0,17.0,124906.0,Sell Dominant,124900.0,124906.0,2.5,-10.0,-1.0,16:04,445003
0.5,-5.0,124900.0,-7.0,124900.0,Neutral,124900.0,124900.0,0.5,2.0,0.0,16:05,445003
3.0,14.0,124902.0,13.0,124920.0,Neutral,124892.0,124892.0,3.0,1.0,0.0,16:06,445003
1.0,-6.0,124930.0,-5.0,124937.0,Sell Dominant,124930.0,124937.0,2.0,-1.0,-1.0,16:07,445003
2.0,-4.0,124949.0,3.0,124949.0,Neutral,124921.0,124921.0,2.0,-7.0,0.0,16:08,445003
1.5,5.0,124945.0,3.0,124945.0,Sell Dominant,124919.0,124929.0,2.5,2.0,-1.0,16:09,445003
6.5,4.0,124980.0,11.0,124984.0,Buy Dominant,124949.0,124949.0,4.5,-7.0,2.0,16:10,445003
5.0,4.0,125037.0,13.0,125037.0,Buy Dominant,124986.0,124986.0,3.0,-9.0,2.0,16:11,445003
1.0,-8.0,125014.0,-13.0,125037.0,Neutral,125014.0,125037.0,1.0,5.0,0.0,16:12,445003
0.5,4.0,124982.0,7.0,124982.0,Neutral,124982.0,124982.0,0.5,-3.0,0.0,16:13,445003
1.0,1.0,125010.0,-2.0,125026.0,Sell Dominant,125010.0,125026.0,3.0,3.0,-2.0,16:14,445003
1.0,-2.0,125020.0,-7.0,125020.0,Buy Dominant,125020.0,125020.0,0.0,5.0,1.0,16:17,445003
2.0,5.0,125040.0,0.0,125040.0,Neutral,125036.0,125036.0,2.0,5.0,0.0,16:18,445003
1.5,-1.0,125055.0,-5.0,125055.0,Buy Dominant,125055.0,125055.0,0.5,4.0,1.0,16:19,445003
2.5,-3.0,125013.0,-5.0,125059.0,Buy Dominant,125013.0,125056.0,1.5,2.0,1.0,16:20,445003
0.0,1.0,125010.0,8.0,125010.0,Sell Dominant,125010.0,125010.0,1.0,-7.0,-1.0,16:21,445003
1.0,-2.0,125010.0,-7.0,125014.0,Neutral,125010.0,125014.0,1.0,5.0,0.0,16:22,445003
0.5,5.0,124990.0,7.0,125010.0,Neutral,124990.0,125010.0,0.5,-2.0,0.0,16:23,445003
1.0,-2.0,124970.0,-16.0,124986.0,Sell Dominant,124962.0,124986.0,3.0,14.0,-2.0,16:24,445003
3.5,1.0,124988.0,-7.0,124988.0,Buy Dominant,124988.0,124988.0,0.5,8.0,3.0,16:25,445003
0.5,2.0,124942.0,11.0,124961.0,Sell Dominant,124942.0,124961.0,5.5,-9.0,-5.0,16:26,445003
0.5,3.0,124914.0,7.0,124914.0,Neutral,124914.0,124914.0,0.5,-4.0,0.0,16:27,445003
4.5,8.0,124983.0,11.0,124983.0,Buy Dominant,124917.0,124917.0,2.5,-3.0,2.0,16:28,445003
1.0,24.0,124980.0,14.0,124995.0,Sell Dominant,124980.0,124990.0,3.0,10.0,-2.0,16:29,445003
1.0,-5.0,125019.0,3.0,125019.0,Buy Dominant,125019.0,125019.0,0.0,-8.0,1.0,16:30,445003
