buy_initiated,buy_volume,close,delta,high,inference,low,open,sell_initiated,sell_volume,tick_delta,timestamp,security_id
0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,05:30,471725
0.0,-6.0,272674.0,-4.0,272674.0,Neutral,272674.0,272674.0,0.0,-2.0,0.0,13:00,471726
1.0,1.0,156501.0,2.0,156501.0,Neutral,156470.0,156470.0,1.0,-1.0,0.0,13:03,472784
0.0,0.0,156500.0,-3.0,156500.0,Sell Dominant,156500.0,156500.0,12.0,3.0,-12.0,13:04,472784
10.5,-17.0,156501.0,-13.0,156501.0,Buy Dominant,156451.0,156501.0,2.5,-4.0,8.0,13:05,472784
0.0,0.0,156450.0,0.0,156450.0,Neutral,156450.0,156450.0,0.0,0.0,0.0,13:07,472784
0.5,-1.0,156391.0,-5.0,156391.0,Sell Dominant,156391.0,156391.0,3.5,4.0,-3.0,13:08,472784
1.0,-1.0,156390.0,-4.0,156390.0,Sell Dominant,156390.0,156390.0,7.0,3.0,-6.0,13:09,472784
0.0,-4.0,1189.0,-6.0,1189.0,Neutral,1189.0,1189.0,0.0,2.0,0.0,13:03,477167
0.5,-5.0,1188.7,-9.0,1188.85,Sell Dominant,1188.7,1188.85,3.5,4.0,-3.0,13:04,477167
4.5,6.0,1188.95,6.0,1188.95,Neutral,1188.3,1188.3,4.5,0.0,0.0,13:05,477167
0.5,-3.0,1188.8,-3.0,1188.8,Sell Dominant,1188.8,1188.8,1.5,0.0,-1.0,13:06,477167
0.5,9.0,1188.55,12.0,1188.55,Sell Dominant,1188.55,1188.55,2.5,-3.0,-2.0,13:07,477167
0.5,0.0,1188.55,-1.0,1188.55,Neutral,1188.55,1188.55,0.5,1.0,0.0,13:09,477167
0.0,-1.0,188.55,0.0,188.55,Neutral,188.55,188.55,0.0,-1.0,0.0,12:26,477168
0.0,-1.0,188.5,-1.0,188.5,Sell Dominant,188.5,188.5,1.0,0.0,-1.0,13:07,477168
0.0,0.0,325.1,0.0,325.1,Neutral,325.1,325.1,0.0,0.0,0.0,13:01,477171
0.5,1.0,325.2,3.0,325.2,Neutral,325.2,325.2,0.5,-2.0,0.0,13:06,477171
0.0,0.0,5976.0,7.0,5976.0,Neutral,5976.0,5976.0,0.0,-7.0,0.0,13:03,486503
5.5,1.0,5985.0,10.0,5985.0,Buy Dominant,5983.0,5983.0,0.5,-9.0,5.0,13:06,486503
14.0,-6.0,5993.0,-11.0,5993.0,Buy Dominant,5993.0,5993.0,0.0,5.0,14.0,13:07,486503
101.0,0.0,5993.0,-1.0,5995.0,Buy Dominant,5993.0,5995.0,1.0,1.0,100.0,13:08,486503
12.5,2.0,6000.0,3.0,6000.0,Buy Dominant,5998.0,5998.0,0.5,-1.0,12.0,13:09,486503
0.5,-1.0,314.75,-1.0,314.75,Neutral,314.75,314.75,0.5,0.0,0.0,13:03,487655
0.0,1.0,314.6,1.0,314.6,Sell Dominant,314.6,314.6,1.0,0.0,-1.0,13:05,487655
1.0,0.0,314.8,-1.0,314.8,Buy Dominant,314.8,314.8,0.0,1.0,1.0,13:07,487655
0.0,0.0,314.8,0.0,314.8,Neutral,314.8,314.8,0.0,0.0,0.0,13:09,487655
0.0,0.0,313.95,0.0,313.95,Neutral,313.95,313.95,0.0,0.0,0.0,13:01,487656
9.0,0.0,314.4,0.0,314.4,Buy Dominant,314.4,314.4,0.0,0.0,9.0,13:03,487656
0.0,0.0,131085.0,-1.0,131085.0,Neutral,131085.0,131085.0,0.0,1.0,0.0,13:01,487664
0.5,0.0,131089.0,0.0,131089.0,Neutral,131089.0,131089.0,0.5,0.0,0.0,13:04,487664
5.0,0.0,131140.0,-1.0,131140.0,Buy Dominant,131090.0,131090.0,1.0,1.0,4.0,13:06,487664
2.5,-1.0,131075.0,-3.0,131075.0,Sell Dominant,131000.0,131000.0,3.5,2.0,-1.0,13:08,487664
0.0,0.0,130973.0,0.0,130973.0,Neutral,130973.0,130973.0,0.0,0.0,0.0,13:09,487664
0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,05:30,487668
