buy_initiated,buy_volume,close,delta,high,inference,low,open,sell_initiated,sell_volume,tick_delta,timestamp,security_id
10.0,11.0,159700.0,38.0,159700.0,Sell Dominant,159640.0,159650.0,15.0,-27.0,-5.0,15:43,440938
76.5,-1.0,159698.0,23.0,159724.0,Buy Dominant,159651.0,159724.0,58.5,-24.0,18.0,15:44,440938
64.0,38.0,159765.0,-12.0,159800.0,Buy Dominant,159641.0,159647.0,48.0,50.0,16.0,15:45,440938
309.0,8.0,159924.0,76.0,159934.0,Buy Dominant,159779.0,159790.0,228.0,-68.0,81.0,15:46,440938
157.0,28.0,159969.0,36.0,159988.0,Buy Dominant,159877.0,159903.0,120.0,-8.0,37.0,15:47,440938
50.5,-6.0,159879.0,-53.0,159996.0,Sell Dominant,159769.0,159988.0,53.5,47.0,-3.0,15:48,440938
39.0,11.0,159866.0,-12.0,159879.0,Sell Dominant,159783.0,159879.0,44.0,23.0,-5.0,15:49,440938
31.0,-52.0,159774.0,-74.0,159885.0,Sell Dominant,159774.0,159821.0,61.0,22.0,-30.0,15:50,440938
69.5,3.0,159683.0,30.0,159733.0,Sell Dominant,159587.0,159733.0,87.5,-27.0,-18.0,15:51,440938
71.0,-5.0,159533.0,-37.0,159655.0,Buy Dominant,159483.0,159639.0,55.0,32.0,16.0,15:52,440938
32.0,22.0,159657.0,54.0,159657.0,Sell Dominant,159520.0,159520.0,36.0,-32.0,-4.0,15:53,440938
43.5,20.0,159790.0,10.0,159790.0,Buy Dominant,159650.0,159650.0,27.5,10.0,16.0,15:54,440938
44.0,20.0,159782.0,-31.0,159850.0,Buy Dominant,159750.0,159791.0,27.0,51.0,17.0,15:55,440938
24.0,-2.0,159668.0,8.0,159794.0,Sell Dominant,159656.0,159754.0,40.0,-10.0,-16.0,15:56,440938
27.5,11.0,159655.0,39.0,159757.0,Buy Dominant,159650.0,159668.0,21.5,-28.0,6.0,15:57,440938
16.0,-3.0,159630.0,-11.0,159700.0,Sell Dominant,159600.0,159651.0,26.0,8.0,-10.0,15:58,440938
14.0,4.0,159619.0,30.0,159669.0,Sell Dominant,159531.0,159604.0,63.0,-26.0,-49.0,15:59,440938
35.5,-13.0,159547.0,-43.0,159640.0,Sell Dominant,159525.0,159640.0,39.5,30.0,-4.0,16:00,440938
41.0,-6.0,159502.0,6.0,159601.0,Buy Dominant,159501.0,159567.0,24.0,-12.0,17.0,16:01,440938
62.5,66.0,159778.0,111.0,159778.0,Buy Dominant,159535.0,159577.0,35.5,-45.0,27.0,16:02,440938
134.5,-19.0,159818.0,-111.0,159933.0,Buy Dominant,159764.0,159764.0,78.5,92.0,56.0,16:03,440938
65.0,-14.0,159799.0,20.0,159825.0,Buy Dominant,159679.0,159794.0,40.0,-34.0,25.0,16:04,440938
17.0,-9.0,159847.0,-7.0,159862.0,Buy Dominant,159814.0,159814.0,12.0,-2.0,5.0,16:05,440938
13.0,-1.0,159805.0,-29.0,159862.0,Neutral,159779.0,159862.0,13.0,28.0,0.0,16:06,440938
13.5,-11.0,159771.0,-38.0,159814.0,Sell Dominant,159755.0,159793.0,22.5,27.0,-9.0,16:07,440938
15.5,14.0,159800.0,30.0,159816.0,Buy Dominant,159751.0,159751.0,11.5,-16.0,4.0,16:08,440938
22.0,3.0,159816.0,-7.0,159860.0,Buy Dominant,159802.0,159802.0,20.0,10.0,2.0,16:09,440938
