security_id,timestamp,buy_volume,sell_volume,buy_initiated,sell_initiated,tick_delta,open,high,low,close,delta,inference,open_interest,oi_change,oi_interpretation
486243,09:10,0.0,0.0,0.0,0.0,0.0,31800.0,31800.0,31800.0,31800.0,0.0,Neutral,0.0,0.0,Neutral
486502,05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
486503,05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
487465,05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
487466,05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
487657,11:45,0.0,0.0,0.0,0.0,0.0,1117.0,1117.0,1117.0,1117.0,0.0,Neutral,0.0,0.0,Neutral
487658,05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
487659,05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
487819,12:35,0.0,0.0,0.0,0.0,0.0,134558.0,134558.0,134558.0,134558.0,0.0,Neutral,0.0,0.0,Neutral
37051,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
37052,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
37053,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
37054,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
38312,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
38313,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
38314,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
38315,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0.0,0.0,Neutral
