buy_initiated,buy_volume,close,delta,high,inference,low,open,sell_initiated,sell_volume,tick_delta,timestamp,security_id
22.5,33.0,149776.0,27.0,149794.0,Sell Dominant,149745.0,149794.0,39.5,6.0,-17.0,14:46,440938
192.0,-4.0,149754.0,-1.0,149797.0,Buy Dominant,149739.0,149780.0,15.0,-3.0,177.0,14:47,440938
51.0,14.0,149716.0,7.0,149830.0,Buy Dominant,149716.0,149754.0,26.0,7.0,25.0,14:48,440938
80.0,-24.0,149438.0,-25.0,149556.0,Sell Dominant,149392.0,149533.0,197.0,1.0,-117.0,14:49,440938
180.0,-19.0,149575.0,-3.0,149630.0,Buy Dominant,149526.0,149526.0,30.0,-16.0,150.0,14:50,440938
65.5,12.0,149644.0,-24.0,149671.0,Buy Dominant,149599.0,149599.0,4.5,36.0,61.0,14:51,440938
56.5,-35.0,149489.0,-36.0,149657.0,Buy Dominant,149475.0,149649.0,6.5,1.0,50.0,14:52,440938
113.5,-2.0,149465.0,-48.0,149613.0,Buy Dominant,149465.0,149566.0,28.5,46.0,85.0,14:53,440938
58.5,6.0,149400.0,-19.0,149498.0,Buy Dominant,149355.0,149497.0,41.5,25.0,17.0,14:54,440938
68.0,2.0,149488.0,3.0,149498.0,Buy Dominant,149446.0,149461.0,6.0,-1.0,62.0,14:55,440938
7.0,28.0,149439.0,24.0,149489.0,Sell Dominant,149416.0,149487.0,40.0,4.0,-33.0,14:56,440938
101.0,4.0,149502.0,-26.0,149550.0,Buy Dominant,149439.0,149439.0,6.0,30.0,95.0,14:57,440938
4.5,-12.0,149526.0,-36.0,149550.0,Sell Dominant,149503.0,149543.0,5.5,24.0,-1.0,14:58,440938
42.0,32.0,149625.0,21.0,149625.0,Buy Dominant,149526.0,149526.0,29.0,11.0,13.0,14:59,440938
167.0,-63.0,149678.0,-108.0,149744.0,Buy Dominant,149678.0,149729.0,20.0,45.0,147.0,15:00,440938
89.5,12.0,149800.0,75.0,149839.0,Buy Dominant,149665.0,149665.0,3.5,-63.0,86.0,15:01,440938
10.0,-5.0,149739.0,-96.0,149830.0,Sell Dominant,149738.0,149826.0,69.0,91.0,-59.0,15:02,440938
22.5,3.0,149725.0,0.0,149775.0,Buy Dominant,149701.0,149750.0,20.5,3.0,2.0,15:03,440938
55.5,-13.0,149737.0,50.0,149773.0,Buy Dominant,149704.0,149733.0,24.5,-63.0,31.0,15:04,440938
97.5,-50.0,149801.0,-65.0,149820.0,Buy Dominant,149694.0,149785.0,21.5,15.0,76.0,15:05,440938
70.0,-32.0,149777.0,-67.0,149810.0,Buy Dominant,149743.0,149781.0,21.0,35.0,49.0,15:06,440938
9.0,7.0,149753.0,21.0,149813.0,Sell Dominant,149710.0,149759.0,45.0,-14.0,-36.0,15:07,440938
30.5,-5.0,149768.0,-24.0,149824.0,Buy Dominant,149750.0,149811.0,24.5,19.0,6.0,15:08,440938
79.0,-4.0,149797.0,24.0,149849.0,Buy Dominant,149770.0,149783.0,56.0,-28.0,23.0,15:09,440938
2.0,0.0,149771.0,-78.0,149807.0,Sell Dominant,149757.0,149807.0,53.0,78.0,-51.0,15:10,440938
16.0,-19.0,149625.0,-34.0,149750.0,Sell Dominant,149625.0,149750.0,31.0,15.0,-15.0,15:11,440938
3.0,48.0,149615.0,111.0,149646.0,Sell Dominant,149604.0,149622.0,66.0,-63.0,-63.0,15:12,440938
20.5,-8.0,149650.0,-18.0,149692.0,Buy Dominant,149646.0,149646.0,16.5,10.0,4.0,15:13,440938
34.5,-17.0,149791.0,-4.0,149791.0,Buy Dominant,149691.0,149691.0,12.5,-13.0,22.0,15:14,440938
12.0,-20.0,149692.0,-65.0,149792.0,Sell Dominant,149651.0,149792.0,44.0,45.0,-32.0,15:15,440938
6.0,2.0,149635.0,3.0,149694.0,Sell Dominant,149635.0,149694.0,14.0,-1.0,-8.0,15:16,440938
13.5,-6.0,149551.0,-1.0,149585.0,Sell Dominant,149523.0,149543.0,50.5,-5.0,-37.0,15:17,440938
6.5,-6.0,149573.0,-17.0,149573.0,Sell Dominant,149520.0,149534.0,14.5,11.0,-8.0,15:18,440938
37.0,-39.0,149229.0,-52.0,149411.0,Sell Dominant,149229.0,149367.0,125.0,13.0,-88.0,15:19,440938
28.5,0.0,149243.0,27.0,149280.0,Buy Dominant,149234.0,149234.0,26.5,-27.0,2.0,15:20,440938
135.0,62.0,149416.0,49.0,149416.0,Buy Dominant,149249.0,149249.0,37.0,13.0,98.0,15:21,440938
2.5,-22.0,149393.0,-60.0,149442.0,Sell Dominant,149376.0,149395.0,44.5,38.0,-42.0,15:22,440938
26.5,18.0,149400.0,49.0,149431.0,Neutral,149393.0,149400.0,26.5,-31.0,0.0,15:23,440938
14.0,-12.0,149400.0,-33.0,149425.0,Buy Dominant,149392.0,149400.0,12.0,21.0,2.0,15:24,440938
10.5,27.0,149427.0,60.0,149430.0,Sell Dominant,149320.0,149320.0,39.5,-33.0,-29.0,15:25,440938
16.5,-42.0,149310.0,-91.0,149444.0,Buy Dominant,149310.0,149444.0,11.5,49.0,5.0,15:26,440938
29.0,10.0,149367.0,-2.0,149374.0,Buy Dominant,149330.0,149374.0,3.0,12.0,26.0,15:27,440938
10.0,-33.0,149305.0,-92.0,149362.0,Sell Dominant,149300.0,149317.0,17.0,59.0,-7.0,15:28,440938
16.0,33.0,149300.0,70.0,149338.0,Buy Dominant,149280.0,149302.0,12.0,-37.0,4.0,15:29,440938
1.5,-1.0,149275.0,3.0,149281.0,Sell Dominant,149273.0,149273.0,31.5,-4.0,-30.0,15:30,440938
87.5,64.0,149301.0,79.0,149326.0,Buy Dominant,149202.0,149265.0,21.5,-15.0,66.0,15:31,440938
56.5,-27.0,149444.0,-55.0,149463.0,Sell Dominant,149359.0,149365.0,73.5,28.0,-17.0,15:32,440938
20.0,-40.0,149288.0,-104.0,149437.0,Sell Dominant,149288.0,149437.0,51.0,64.0,-31.0,15:33,440938
8.0,4.0,149323.0,2.0,149352.0,Neutral,149273.0,149301.0,8.0,2.0,0.0,15:34,440938
14.0,2.0,149228.0,-6.0,149300.0,Sell Dominant,149228.0,149300.0,28.0,8.0,-14.0,15:35,440938
50.0,12.0,149240.0,9.0,149256.0,Buy Dominant,149194.0,149250.0,11.0,3.0,39.0,15:36,440938
73.5,32.0,149298.0,75.0,149333.0,Buy Dominant,149175.0,149239.0,30.5,-43.0,43.0,15:37,440938
29.5,-40.0,149135.0,-123.0,149293.0,Sell Dominant,149100.0,149293.0,97.5,83.0,-68.0,15:38,440938
28.0,-4.0,149112.0,-25.0,149157.0,Neutral,149100.0,149116.0,28.0,21.0,0.0,15:39,440938
2.0,0.0,121450.0,-5.0,121450.0,Sell Dominant,121414.0,121440.0,3.0,5.0,-1.0,14:46,445003
68.5,-10.0,121486.0,-9.0,121492.0,Buy Dominant,121438.0,121472.0,7.5,-1.0,61.0,14:47,445003
11.0,-3.0,121476.0,11.0,121501.0,Sell Dominant,121390.0,121470.0,18.0,-14.0,-7.0,14:48,445003
9.0,-2.0,121255.0,-14.0,121380.0,Sell Dominant,121255.0,121380.0,76.0,12.0,-67.0,14:49,445003
48.5,-12.0,121402.0,-3.0,121420.0,Buy Dominant,121360.0,121362.0,5.5,-9.0,43.0,14:50,445003
35.0,9.0,121441.0,-15.0,121493.0,Buy Dominant,121390.0,121390.0,12.0,24.0,23.0,14:51,445003
1.0,-4.0,121363.0,-9.0,121436.0,Sell Dominant,121348.0,121436.0,21.0,5.0,-20.0,14:52,445003
28.5,-1.0,121352.0,-18.0,121419.0,Buy Dominant,121322.0,121374.0,3.5,17.0,25.0,14:53,445003
5.0,0.0,121280.0,-5.0,121338.0,Sell Dominant,121267.0,121338.0,18.0,5.0,-13.0,14:54,445003
22.0,7.0,121331.0,11.0,121331.0,Buy Dominant,121298.0,121298.0,0.0,-4.0,22.0,14:55,445003
1.5,-6.0,121274.0,5.0,121292.0,Sell Dominant,121274.0,121292.0,19.5,-11.0,-18.0,14:56,445003
10.5,-2.0,121300.0,-4.0,121300.0,Buy Dominant,121280.0,121280.0,0.5,2.0,10.0,14:57,445003
0.5,-6.0,121319.0,-4.0,121319.0,Neutral,121293.0,121293.0,0.5,-2.0,0.0,14:58,445003
17.0,-12.0,121419.0,4.0,121421.0,Sell Dominant,121310.0,121310.0,20.0,-16.0,-3.0,14:59,445003
14.5,-9.0,121400.0,-15.0,121442.0,Buy Dominant,121400.0,121442.0,6.5,6.0,8.0,15:00,445003
10.0,-11.0,121434.0,-15.0,121434.0,Buy Dominant,121400.0,121400.0,9.0,4.0,1.0,15:01,445003
1.5,9.0,121380.0,3.0,121427.0,Sell Dominant,121367.0,121427.0,15.5,6.0,-14.0,15:02,445003
1.0,-3.0,121348.0,6.0,121380.0,Sell Dominant,121348.0,121380.0,6.0,-9.0,-5.0,15:03,445003
2.5,-7.0,121360.0,12.0,121360.0,Neutral,121333.0,121348.0,2.5,-19.0,0.0,15:04,445003
27.0,6.0,121390.0,3.0,121447.0,Buy Dominant,121360.0,121426.0,11.0,3.0,16.0,15:05,445003
22.0,-2.0,121475.0,-4.0,121475.0,Buy Dominant,121443.0,121443.0,2.0,2.0,20.0,15:06,445003
12.5,-5.0,121415.0,5.0,121487.0,Sell Dominant,121410.0,121446.0,14.5,-10.0,-2.0,15:07,445003
16.0,-17.0,121448.0,-18.0,121475.0,Buy Dominant,121437.0,121455.0,11.0,1.0,5.0,15:08,445003
17.5,7.0,121414.0,-2.0,121475.0,Buy Dominant,121414.0,121457.0,6.5,9.0,11.0,15:09,445003
2.0,-18.0,121369.0,-32.0,121414.0,Sell Dominant,121369.0,121414.0,7.0,14.0,-5.0,15:10,445003
8.0,-15.0,121307.0,-14.0,121379.0,Sell Dominant,121307.0,121370.0,20.0,-1.0,-12.0,15:11,445003
26.0,6.0,121320.0,9.0,121320.0,Buy Dominant,121287.0,121287.0,1.0,-3.0,25.0,15:12,445003
2.0,9.0,121342.0,-5.0,121357.0,Neutral,121331.0,121331.0,2.0,14.0,0.0,15:13,445003
