buy_initiated,buy_volume,close,delta,high,inference,low,open,sell_initiated,sell_volume,tick_delta,timestamp,security_id
0.0,-5.0,110639.0,-7.0,110643.0,Sell Dominant,110639.0,110643.0,1.0,2.0,-1.0,13:44,439487
18.5,5.0,110600.0,6.0,110639.0,Sell Dominant,110600.0,110639.0,31.5,-1.0,-13.0,13:45,439487
3.0,0.0,110622.0,10.0,110622.0,Buy Dominant,110622.0,110622.0,0.0,-10.0,3.0,13:46,439487
12.0,3.0,110590.0,22.0,110605.0,Sell Dominant,110590.0,110603.0,14.0,-19.0,-2.0,13:47,439487
14.0,-3.0,110550.0,7.0,110590.0,Sell Dominant,110534.0,110590.0,51.0,-10.0,-37.0,13:48,439487
0.5,-18.0,110523.0,-13.0,110525.0,Sell Dominant,110523.0,110525.0,139.5,-5.0,-139.0,13:49,439487
34.0,3.0,110524.0,3.0,110559.0,Buy Dominant,110524.0,110550.0,2.0,0.0,32.0,13:50,439487
29.0,-4.0,110515.0,3.0,110525.0,Buy Dominant,110513.0,110525.0,1.0,-7.0,28.0,13:51,439487
2.0,-21.0,110502.0,-27.0,110518.0,Sell Dominant,110502.0,110518.0,30.0,6.0,-28.0,13:52,439487
7.5,1.0,110502.0,-10.0,110502.0,Buy Dominant,110500.0,110500.0,6.5,11.0,1.0,13:53,439487
435.0,-1.0,110340.0,24.0,110418.0,Sell Dominant,110283.0,110399.0,560.0,-25.0,-125.0,13:54,439487
121.0,-53.0,110363.0,-91.0,110428.0,Buy Dominant,110361.0,110408.0,14.0,38.0,107.0,13:55,439487
28.0,31.0,110346.0,40.0,110350.0,Sell Dominant,110334.0,110335.0,57.0,-9.0,-29.0,13:56,439487
40.5,-19.0,110370.0,-26.0,110370.0,Buy Dominant,110360.0,110365.0,2.5,7.0,38.0,13:57,439487
2.5,16.0,110371.0,18.0,110377.0,Sell Dominant,110361.0,110377.0,3.5,-2.0,-1.0,13:58,439487
27.5,7.0,110305.0,12.0,110305.0,Sell Dominant,110258.0,110258.0,231.5,-5.0,-204.0,13:59,439487
56.5,23.0,110298.0,13.0,110301.0,Sell Dominant,110285.0,110295.0,84.5,10.0,-28.0,14:00,439487
22.5,-11.0,110230.0,-11.0,110279.0,Sell Dominant,110230.0,110279.0,56.5,0.0,-34.0,14:01,439487
23.0,18.0,110238.0,18.0,110246.0,Sell Dominant,110231.0,110244.0,32.0,0.0,-9.0,14:02,439487
62.0,35.0,110285.0,42.0,110286.0,Buy Dominant,110263.0,110263.0,8.0,-7.0,54.0,14:03,439487
36.0,11.0,110299.0,23.0,110309.0,Buy Dominant,110272.0,110285.0,33.0,-12.0,3.0,14:04,439487
12.5,30.0,110268.0,43.0,110268.0,Sell Dominant,110231.0,110245.0,76.5,-13.0,-64.0,14:05,439487
8.5,-18.0,110241.0,-29.0,110258.0,Sell Dominant,110237.0,110245.0,28.5,11.0,-20.0,14:06,439487
34.5,-26.0,110250.0,-49.0,110268.0,Buy Dominant,110250.0,110263.0,1.5,23.0,33.0,14:07,439487
57.5,15.0,110259.0,11.0,110259.0,Buy Dominant,110242.0,110242.0,1.5,4.0,56.0,14:08,439487
2.5,-21.0,110229.0,-33.0,110260.0,Sell Dominant,110229.0,110260.0,7.5,12.0,-5.0,14:09,439487
12.5,12.0,110266.0,22.0,110267.0,Buy Dominant,110238.0,110256.0,4.5,-10.0,8.0,14:10,439487
8.0,9.0,110252.0,7.0,110266.0,Neutral,110248.0,110266.0,8.0,2.0,0.0,14:11,439487
21.5,-2.0,110251.0,-2.0,110279.0,Buy Dominant,110251.0,110279.0,5.5,0.0,16.0,14:12,439487
30.5,-33.0,110239.0,-40.0,110265.0,Sell Dominant,110230.0,110262.0,44.5,7.0,-14.0,14:13,439487
89.5,7.0,110251.0,5.0,110256.0,Buy Dominant,110251.0,110256.0,1.5,2.0,88.0,14:14,439487
1.5,-23.0,110227.0,-42.0,110254.0,Sell Dominant,110227.0,110254.0,24.5,19.0,-23.0,14:15,439487
5.0,-5.0,110246.0,5.0,110246.0,Buy Dominant,110232.0,110241.0,1.0,-10.0,4.0,14:16,439487
